DateTime	SlaveNum	Cycle	Mode	SupplyVolts	LSupplyVolts	SupplyAmps	PWM	SecTimer	AvgCellVolts	MaxCellVolts	AvgIR	FallBackVolts	CVStarted	SlowAmps	AvgAmps	FastAmps	SetAmps	AhrIN	AhrOUT	PackVolts	AvgPackVolts	Fuel1	SumError	Cell1Volts	Cell2Volts	Cell3Volts	Cell4Volts	Cell5Volts	Cell6Volts	Cell7Volts	Cell8Volts	Cell9Volts	Cell10Volts	Cell11Volts	Cell12Volts	Cell13Volts	Cell14Volts	Cell15Volts	Cell16Volts	Cell1IR	Cell2IR	Cell3IR	Cell4IR	Cell5IR	Cell6IR	Cell7IR	Cell8IR	Cell9IR	Cell10IR	Cell11IR	Cell12IR	Cell13IR	Cell14IR	Cell15IR	Cell16IR	BP1PWM	BP2PWM	BP3PWM	BP4PWM	BP5PWM	BP6PWM	BP7PWM	BP8PWM	BP9PWM	BP10PWM	BP11PWM	BP12PWM	BP13PWM	BP14PWM	BP15PWM	BP16PWM	Debug1	Debug2	Debug3	
21/03/2022 23:27:43	0	0	8	22.71	22.76	0	1518	9	4.202	4.2023	0	0	False	0	0	-0.01833333	40	0	0	4.243	4.243	-1	-0.034	4.202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21/03/2022 23:27:47	0	0	8	22.71	22.76	-0.1	1498	13	4.2	4.201	0	0	False	-0.001666667	-0.01	-0.1216667	40	0	0.0001	4.232	4.232	-1	-0.034	4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21/03/2022 23:27:57	0	0	8	22.74	22.88	-7.7	426	23	3.897	3.9022	0	0	False	-39.68667	-39.92	-39.98333	40	0	0.0868	3.945	3.945	-1	-0.046	3.897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21/03/2022 23:28:07	0	0	8	22.75	22.89	-7.5	430	33	3.873	3.8759	0	0	False	-39.82667	-39.985	-39.51833	40	0	0.1987	3.91	3.91	-1	-0.046	3.873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21/03/2022 23:28:17	0	0	8	22.76	22.9	-7.6	410	43	3.867	3.8659	0	0	False	-39.88667	-39.94833	-40.115	40	0	0.3098	3.899	3.899	-1	-0.034	3.867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21/03/2022 23:28:27	0	0	8	22.76	22.9	-7.5	422	53	3.854	3.8547	0	0	False	-39.93667	-40.01167	-39.77833	40	0	0.4212	3.888	3.888	-1	-0.034	3.854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21/03/2022 23:28:37	0	0	8	22.77	22.91	-7.5	410	63	3.842	3.8422	0	0	False	-39.97	-40.01	-39.89833	40	0	0.5321	3.865	3.865	-1	-0.034	3.842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21/03/2022 23:28:47	0	0	8	22.79	22.92	-7.4	406	73	3.83	3.8309	0	0	False	-39.99166	-39.97333	-39.44333	40	0	0.6433	3.865	3.865	-1	-0.034	3.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21/03/2022 23:28:57	0	0	8	22.79	22.91	-7.4	362	83	3.817	3.8182	0	0	False	-40.00167	-39.90667	-39.625	40	0	0.7546	3.853	3.853	-1	-0.034	3.817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21/03/2022 23:29:07	0	0	8	22.8	22.93	-6.9	476	93	3.8	3.8009	0	0	False	-39.34167	-38.91667	-37.16	40	0	0.8653	3.83	3.841	-1	-0.034	3.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
